cruise,permit,year,observer,vessel_name,gear_desc,haul_date,haul,size_est,visual_cue,total_haul_pss,census,sex_obs,photo_taken,wt,pcl,specimen_yn,specimen_num,notes,notes2,nmfs_area,latdd_start,londd_start,sampID,ncf_lat,ncf_lon
22350,4463,2018,Tyler Allen,Clipper Eric,NA,2018-02-19T00:00:00Z,70,M,2,1,Y,NA,NA,NA,NA,N,NA,NA,NA,513,56.45667,-166.87833,62_2018_22350_4463_70_1,56.4086546388,-166.771938577
22356,3242,2018,Johanna Protheroe,Clipper Endeavor,NA,2018-03-16T00:00:00Z,133,S,NA,1,Y,2,NA,9.94,92,N,NA,NA,NA,521,56.81333,-170.885,62_2018_22356_3242_133_2,56.7998040885,-170.99186003
22410,33320,2018,Dan Garatea,Northern Leader,NA,2018-01-17T00:00:00Z,8,L,2,1,Y,NA,NA,NA,NA,N,NA,animal wrapped in good xxxx xxxx broadside,NA,521,59.65667,-174.265,62_2018_22410_33320_8_3,59.6377116406,-174.403501136
22410,33320,2018,Dan Garatea,Northern Leader,NA,2018-01-26T00:00:00Z,18,L,2,1,Y,NA,NA,NA,NA,N,NA,animal broadside XXXXXX hook spacing of 1.2m,NA,521,59.635,-174.28,62_2018_22410_33320_18_4,59.6377116406,-174.403501136
22410,33320,2018,Dan Garatea,Northern Leader,NA,2018-01-29T00:00:00Z,20,M,2,1,Y,NA,NA,NA,NA,N,NA,saw broadside,NA,521,59.63833,-174.37806,62_2018_22410_33320_20_5,59.6377116406,-174.403501136
22410,33320,2018,Dan Garatea,Northern Leader,NA,2018-02-09T00:00:00Z,27,M,2,1,Y,NA,NA,NA,NA,N,NA,broadside ~1.8m,NA,521,58.47333,-172.855,62_2018_22410_33320_27_6,58.4888842102,-172.771024663
22416,372,2018,Nick Paxton,US Liberator,NA,2018-01-21T00:00:00Z,25,L,NA,1,Y,NA,NA,NA,NA,N,NA,"broke off at surface, used hook spacing to est length",NA,524,60.24833,-178.15167,62_2018_22416_372_25_7,60.309928381,-178.172432418
22416,372,2018,Nick Paxton,US Liberator,NA,2018-02-27T00:00:00Z,67,S,NA,1,Y,2,NA,8.8,88,N,NA,NA,NA,524,60.13,-178.38833,62_2018_22416_372_67_8,60.1710466322,-178.400742599
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-03-01T00:00:00Z,46,M,2,NA,Y,NA,NA,NA,NA,N,NA,est by dist between gangions,NA,521,59.57167,-175.5,62_2018_22536_6323_46_9,59.5791193469,-175.337004905
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-03-03T00:00:00Z,47,M,2,NA,Y,NA,NA,NA,NA,N,NA,est by dist between gangions,NA,521,59.13167,-175.52167,62_2018_22536_6323_47_10,59.1413491798,-175.691822459
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-03-16T00:00:00Z,61,M,2,NA,Y,NA,NA,NA,NA,N,NA,est by dist between gangions,NA,521,59.14833,-175.39833,62_2018_22536_6323_61_11,59.1058856214,-175.348298753
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-03-16T00:00:00Z,61,M,2,NA,Y,NA,NA,NA,NA,N,NA,est by dist between gangions,NA,521,59.14833,-175.39833,62_2018_22536_6323_61_12,59.1058856214,-175.348298753
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-03-16T00:00:00Z,61,M,2,NA,Y,NA,NA,NA,NA,N,NA,est by dist between gangions,NA,521,59.14833,-175.39833,62_2018_22536_6323_61_13,59.1058856214,-175.348298753
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-04-13T00:00:00Z,91,S,NA,NA,Y,1,NA,6.49,80,N,NA,NA,NA,521,58.21,-173.535,62_2018_22536_6323_91_14,58.270699806,-173.576351757
22569,29997,2018,Lauren Eaken,Bering Leader,NA,2018-04-10T00:00:00Z,76,S,13,1,Y,NA,NA,NA,NA,N,NA,NA,NA,521,59.00333,-174.25833,62_2018_22569_29997_76_15,58.9940687943,-174.32215175
22586,1248,2018,Dan Garatea,Baranof,NA,2018-05-11T00:00:00Z,476,S,2,1,Y,1,NA,14.64,126,N,NA,"saved as specimen 59300, not sure of ID",haul not in obs db,519,54.33,-165.965,62_2018_22586_1248_476_16,54.2919597571,-166.068936809
22586,1248,2018,Dan Garatea,Baranof,NA,2018-06-14T00:00:00Z,567,S,1,1,Y,NA,NA,NA,NA,N,NA,NA,haul not in obs db,650,57.76833,-137.10667,62_2018_22586_1248_567_17,57.7577394585,-137.240083359
22586,1248,2018,Dan Garatea,Baranof,NA,2018-06-21T00:00:00Z,593,S,1,1,Y,1,NA,1.48,46,N,NA,NA,haul not in obs db,650,55.23667,-134.535,62_2018_22586_1248_593_18,55.2706373132,-134.408378959
22586,1248,2018,Dan Garatea,Baranof,NA,2018-06-25T00:00:00Z,608,L,1,1,Y,NA,NA,NA,NA,N,NA,NA,NA,650,54.51333,-134.035,62_2018_22586_1248_608_19,54.532281372,-133.955062232
22586,1248,2018,Dan Garatea,Baranof,NA,2018-06-26T00:00:00Z,613,L,1,1,Y,NA,NA,NA,NA,N,NA,"tail wrapped, rail XXXXXX",haul not in obs db,650,54.51667,-134.03333,62_2018_22586_1248_613_20,54.532281372,-133.955062232
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-06-14T00:00:00Z,102,S,10,1,Y,NA,NA,NA,NA,N,NA,NA,haul not in obs db,517,55.02167,-167.43333,62_2018_22769_4450_102_21,55.0548637736,-167.417407071
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-07-08T00:00:00Z,144,S,NA,1,Y,2,NA,11.96,94,N,NA,NA,NA,521,59.07167,-174.44167,62_2018_22769_4450_144_22,59.1646163674,-174.4278621
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-07-18T00:00:00Z,154,M,2,2,N,2,NA,NA,171,N,NA,NA,NA,521,59.35333,-174.18,62_2018_22769_4450_154_23,59.2965519505,-174.190430256
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-07-23T00:00:00Z,162,M,2,1,Y,NA,NA,NA,NA,N,NA,NA,NA,521,59.22167,-174.19667,62_2018_22769_4450_162_24,59.2965519505,-174.190430256
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-07-27T00:00:00Z,169,S,NA,1,Y,2,NA,19.14,100,N,NA,NA,NA,521,59.205,-174.02167,62_2018_22769_4450_169_25,59.1258241161,-174.085503993
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-07-30T00:00:00Z,174,S,2,1,Y,NA,NA,NA,NA,N,NA,NA,NA,521,59.26667,-174.05833,62_2018_22769_4450_174_26,59.2965519505,-174.190430256
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-01T00:00:00Z,179,S,2,1,Y,NA,NA,NA,NA,N,NA,NA,NA,521,59.41667,-174.16167,62_2018_22769_4450_179_27,59.4671810872,-174.296424028
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-02T00:00:00Z,183,S,2,1,Y,NA,NA,NA,NA,N,NA,NA,NA,521,59.265,-174.29833,62_2018_22769_4450_183_28,59.2965519505,-174.190430256
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-05T00:00:00Z,191,S,NA,1,Y,NA,NA,NA,95,N,NA,NA,NA,521,59.28833,-174.62833,62_2018_22769_4450_191_29,59.3350625928,-174.534642509
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-06T00:00:00Z,192,S,2,2,Y,NA,NA,NA,NA,N,NA,NA,NA,521,59.30333,-174.565,62_2018_22769_4450_192_30,59.3350625928,-174.534642509
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-06T00:00:00Z,192,S,NA,2,Y,2,NA,12.93,93,N,NA,NA,NA,521,59.30333,-174.565,62_2018_22769_4450_192_31,59.3350625928,-174.534642509
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-08-07T00:00:00Z,194,S,2,2,N,NA,NA,NA,NA,N,NA,NA,NA,521,59.32,-174.69667,62_2018_22769_4450_194_32,59.3350625928,-174.534642509
22867,7161,2018,Hailey Rosentnal,Aleutian Sable,NA,2018-08-17T00:00:00Z,227,S,In hand,1,NA,2,NA,8.89,85,N,NA,NA,NA,521,56.48333,-171.48333,62_2018_22867_7161_227_33,56.5469091056,-171.455260899
22867,4635,2018,Hailey Rosentnal,Aleutian Sable,NA,2018-09-11T00:00:00Z,694,S,In hand,1,NA,2,NA,17.79,105,N,NA,NA,NA,521,58.16,-170.77167,62_2018_22867_4635_694_34,58.2170053696,-170.781783018
22914,2718,2018,Todd Miral,Clipper Surprise,NA,2018-09-07T00:00:00Z,440,S,NA,NA,NA,1,NA,12.85,84,N,NA,Code 10/Clean hook,NA,521,57.32833,-172.84333,62_2018_22914_2718_440_35,57.3707566551,-172.767665221
22914,2718,2018,Todd Miral,Clipper Surprise,NA,2018-09-25T00:00:00Z,480,S,NA,NA,NA,1,NA,11.84,91,N,NA,Code 10/Clean hook,NA,523,56.54167,-172.69,62_2018_22914_2718_480_36,56.5529567938,-172.629801221
23053,372,2018,John Kim,US Liberator,NA,2018-10-31T00:00:00Z,376,S,NA,1,NA,2,NA,NA,125,N,NA,"L/W table - 155cm, 31.201g",NA,524,61.21,-176.85667,62_2018_23053_372_376_37,61.134816171,-176.761045892
23053,372,2018,John Kim,US Liberator,NA,2018-11-03T00:00:00Z,381,M,2,1,NA,NA,NA,NA,NA,N,NA,About 2m - size of (illegible),NA,524,61.35667,-177.20667,62_2018_23053_372_381_38,61.3345225721,-177.255877631
23053,372,2018,John Kim,US Liberator,NA,2018-11-07T00:00:00Z,388,M,10,1,NA,NA,NA,NA,NA,N,NA,Came off hook after brought to mid body,NA,524,61.44667,-177.33,62_2018_23053_372_388_39,61.47681191,-177.324229498
23053,372,2018,John Kim,US Liberator,NA,2018-11-08T00:00:00Z,390,M,10,1,NA,NA,NA,NA,NA,N,NA,Came off hook after brought to mid body,NA,524,61.01333,-177.235,62_2018_23053_372_390_40,61.0294018057,-177.366865358
