=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Year: 2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986"
"Species Name: PACIFIC SLEEPER SHARK"
=========================================================================
"Year","T Table","Haul Join","Port Join","Cruise","Permit","Length Seq","Haul Offload Date","Haul Offload","Fishing Depth (Fathoms)","Bottom Depth (Fathoms)","IFQ Flag","Gear","Gear Description","Performance","Performance Description","FMP Area","FMP Subarea","NMFS Area","Species Code","Species Name","Sex","Length (cm)","Frequency","Eggs","Viability","Injury","Sample System","Vessel","Vessel Length (ft)","LatDD Start","LonDD Start","LatDD End","LonDD End","Received from NORPAC","Loaded to Repository"
2008,ATL_HAUL,'12107003442000002764',,12107,3442,11172,04-AUG-08,343,43,52,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,167,1,,,,3,A136,256,58.945,-172.57,59.17,-173.13167,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11672001607000000286',,11672,1607,2403,12-FEB-08,129,55,68,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,109,1,,,,2,A255,305,56.35,-168.61667,56.4,-168.3,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12401002924000001770',,12401,2924,8394,06-NOV-08,745,310,310,N,1,NON PELAGIC,2,CRAB POT IN HAUL,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,M,104,1,,,,2,A563,107,54.26667,-166.01667,54.4,-165.85,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12441003870000001846',,12441,3870,203165,18-NOV-08,145,230,280,N,2,PELAGIC,1,NO PROBLEM,WOC,WOC,710,62,PACIFIC SLEEPER SHARK,F,420,1,,,,2,A225,304,46.06667,-124.78333,46.08333,-124.75,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11832000410000114391',,11832,410,137002,25-MAR-08,57,110,128,N,2,PELAGIC,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,M,236,1,,,,2,A567,77,57.51667,-155.01167,57.45,-155,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000001914',,12051,3896,11203,29-JUL-08,334,119,132,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,125,1,,,,3,A080,336,59.66167,-177.455,59.66667,-177.59833,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000652',,11671,4055,4019,13-MAR-08,140,275,305,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,101,1,,,,2,A262,285,56.1,-168.66667,56.05,-168.61667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000698',,11671,4055,4359,18-MAR-08,155,280,340,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,99,1,,,,2,A262,285,56.01667,-168.7,55.98333,-168.66667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000422',,11671,4055,2503,18-FEB-08,84,270,300,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,108,1,,,,2,A262,285,56.15,-169.06667,56.2,-169.38333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11660003442000000182',,11660,3442,169467,27-JAN-08,22,44,54,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,513,62,PACIFIC SLEEPER SHARK,U,172,1,,,,2,A136,256,56.635,-168.82333,56.67167,-168.895,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11578003673000000624',,11578,3673,2831,27-FEB-08,126,,70,N,8,LONGLINER,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,M,94,1,,,,2,A107,135,55.87833,-158.35333,55.70833,-158.21167,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000522',12870,4078,1842,01-JUL-09,39,,,,2,PELAGIC,,,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,128,1,,,,5,A070,,,,,,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12878005310000000543',12878,5310,1001,13-JUN-09,3,,,,2,PELAGIC,,,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,M,112,1,,,,5,A121,,,,,,19-JUL-22,20-JUL-22
