Year,Sex,PCL,PCL_type,FL,FL_type,TL,TLcm,TL_type,TLbin,Weight,Weight_typ,Frequency,Source,Gear,LAT,LONG,Survey,FMP,NMFS_Sub_A,NMFS_AREA
2016,1,1053.606,est,0, ,1210,121,measure,120,14.72,measure,1,RACE_TWL,Bottom Trawl,56.02213,-163.40373, ,BSAI,BS,509
2015,2,1572.334,est,0, ,1800,180,measure,180,72,measure,1,RACE_TWL,Bottom Trawl,55.32569,-164.04952, ,BSAI,BS,509
2017,0,0, ,0, ,0,0, ,0,40.84,measure,1,RACE_TWL,Bottom Trawl,56.65854,-168.29087,EBS_Shelf,BSAI,BS,513
2016,2,745.886,est,0, ,860,86,measure,80,4.84,measure,1,RACE_TWL,Bottom Trawl,57.16701,-168.60946, ,BSAI,BS,513
2005,3,1115.15,est,0, ,1280,128,measure,120,29.2,measure,1,RACE_TWL,Bottom Trawl,57.98996,-168.4516, ,BSAI,BS,513
2010,2,1308.574,est,0, ,1500,150,measure,150,37.48,measure,1,RACE_TWL,Bottom Trawl,56.66992,-167.05087, ,BSAI,BS,513
2004,2,1677.838,est,0, ,1920,192,measure,190,82,measure,1,RACE_TWL,Bottom Trawl,57.01023,-168.937, ,BSAI,BS,513
2008,1,684.342,est,0, ,790,79,measure,70,4.3,measure,1,RACE_TWL,Bottom Trawl,54.55023,-165.9016, ,BSAI,BS,517
2010,2,737.094,est,0, ,850,85,measure,80,6.96,measure,1,RACE_TWL,Bottom Trawl,56.13887,-168.98452, ,BSAI,BS,517
2008,1,763.47,est,0, ,880,88,measure,80,5.18,measure,1,RACE_TWL,Bottom Trawl,54.68908,-165.7402, ,BSAI,BS,517
2008,1,763.47,est,0, ,880,88,measure,80,8.3,measure,1,RACE_TWL,Bottom Trawl,55.27641,-168.02721, ,BSAI,BS,517
2010,2,763.47,est,0, ,880,88,measure,80,5.96,measure,1,RACE_TWL,Bottom Trawl,54.5766,-166.8869, ,BSAI,BS,517
2008,2,772.262,est,0, ,890,89,measure,80,6.995,measure,1,RACE_TWL,Bottom Trawl,55.37963,-168.2587, ,BSAI,BS,517
2010,2,781.054,est,0, ,900,90,measure,90,4.08,measure,1,RACE_TWL,Bottom Trawl,54.5766,-166.8869, ,BSAI,BS,517
2008,1,798.638,est,0, ,920,92,measure,90,5.2,measure,1,RACE_TWL,Bottom Trawl,54.57467,-166.88699, ,BSAI,BS,517
2010,2,798.638,est,0, ,920,92,measure,90,6.16,measure,1,RACE_TWL,Bottom Trawl,54.64753,-167.3313, ,BSAI,BS,517
2012,1,807.43,est,0, ,930,93,measure,90,8.68,measure,1,RACE_TWL,Bottom Trawl,54.92017,-167.65988, ,BSAI,BS,517
2004,2,816.222,est,0, ,940,94,measure,90,7.24,measure,1,RACE_TWL,Bottom Trawl,54.50338,-166.15021, ,BSAI,BS,517
2010,2,833.806,est,0, ,960,96,measure,90,7.07,measure,1,RACE_TWL,Bottom Trawl,54.5766,-166.8869, ,BSAI,BS,517
2010,2,842.598,est,0, ,970,97,measure,90,6.31,measure,1,RACE_TWL,Bottom Trawl,56.10235,-169.25132, ,BSAI,BS,517
2012,1,851.39,est,0, ,980,98,measure,90,8.58,measure,1,RACE_TWL,Bottom Trawl,55.818,-168.87742, ,BSAI,BS,517
2010,2,860.182,est,0, ,990,99,measure,90,6.64,measure,1,RACE_TWL,Bottom Trawl,55.40677,-168.23835, ,BSAI,BS,517
2010,1,877.766,est,0, ,1010,101,measure,100,10.82,measure,1,RACE_TWL,Bottom Trawl,55.45443,-168.42433, ,BSAI,BS,517
2000,3,893.3859551,est,990,measure,1027.7661,102.77661,est,100,6.7,measure,1,RACE_TWL,Bottom Trawl,56.06556,-168.795, ,BSAI,BS,517
