OFFICIAL_USE,YEAR,COUNT,AGENCY_SPECIES_CODE,REPORTING_AREA,GEAR_CODE,FMP,FMP_subarea
SHARK_COUNTS,2013,0.00707952,692,508,PTR,BSAI,EBS
SHARK_COUNTS,2011,9.046583851,692,509,HAL,BSAI,EBS
SHARK_COUNTS,2011,36.16923061,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2012,5.457219251,692,509,HAL,BSAI,EBS
SHARK_COUNTS,2012,5.067396776,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2013,26.4259368,692,509,HAL,BSAI,EBS
SHARK_COUNTS,2013,6,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2014,13.19053791,692,509,HAL,BSAI,EBS
SHARK_COUNTS,2014,0.45,692,509,NPT,BSAI,EBS
SHARK_COUNTS,2014,12.25323229,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2015,3.811728395,692,509,HAL,BSAI,EBS
SHARK_COUNTS,2015,0,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2016,21.68831886,692,509,HAL,BSAI,EBS
SHARK_COUNTS,2016,93,692,509,NPT,BSAI,EBS
SHARK_COUNTS,2016,9.977327809,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2017,28.09065624,692,509,HAL,BSAI,EBS
SHARK_COUNTS,2017,1.023850883,692,509,NPT,BSAI,EBS
SHARK_COUNTS,2017,5,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2018,15.30691911,692,509,HAL,BSAI,EBS
SHARK_COUNTS,2018,1,692,509,NPT,BSAI,EBS
SHARK_COUNTS,2018,12.02590731,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2019,8,692,509,HAL,BSAI,EBS
SHARK_COUNTS,2019,4,692,509,NPT,BSAI,EBS
SHARK_COUNTS,2019,9.52689505,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2020,3.791813162,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2021,878.9268165,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2022,5,692,509,PTR,BSAI,EBS
SHARK_COUNTS,2011,3.002049808,692,513,POT,BSAI,EBS
SHARK_COUNTS,2011,17.02673884,692,513,PTR,BSAI,EBS
SHARK_COUNTS,2012,5.015256056,692,513,PTR,BSAI,EBS
SHARK_COUNTS,2013,5,692,513,PTR,BSAI,EBS
SHARK_COUNTS,2014,7.854122622,692,513,HAL,BSAI,EBS
SHARK_COUNTS,2014,10.00181801,692,513,PTR,BSAI,EBS
SHARK_COUNTS,2015,29.29863402,692,513,HAL,BSAI,EBS
SHARK_COUNTS,2015,5,692,513,PTR,BSAI,EBS
SHARK_COUNTS,2016,222.1724967,692,513,HAL,BSAI,EBS
SHARK_COUNTS,2016,3,692,513,NPT,BSAI,EBS
